http://www.wikidata.org/entity/Q1030044	Quinnipiac University	Connecticut	United States of America	Quinnipiac University	Quinnipiac University	Quinnipiacin yliopisto
http://www.wikidata.org/entity/Q1052614	Utah State University	Utah	United States of America	Utah State University	Utah State University	Utahin osavaltionyliopisto
http://www.wikidata.org/entity/Q1056123	Suffolk University	Massachusetts	United States of America	Suffolk University	Suffolk University	Suffolkin yliopisto
http://www.wikidata.org/entity/Q1115878	University of Richmond	Virginia	United States of America	University of Richmond	University of Richmond	Richmondin yliopisto
http://www.wikidata.org/entity/Q1140241	State University of New York	New York	United States of America	State University of New York	State University of New York	New Yorkin osavaltionyliopisto
http://www.wikidata.org/entity/Q1153094	Sophia University	Tokyo	Japan	Sophia University	Sophiauniversitetet	Sophia-yliopisto
http://www.wikidata.org/entity/Q1191833	University of Manitoba	Manitoba	Canada	University of Manitoba	University of Manitoba	Manitoban yliopisto
http://www.wikidata.org/entity/Q1202897	Dublin City University	Dublin	Ireland	Dublin City University	Dublin City University	Dublin City University
http://www.wikidata.org/entity/Q1238770	Addis Ababa University	Addis Ababa	Ethiopia	Addis Ababa University	Addis Ababa University	Addis Abeban yliopisto
http://www.wikidata.org/entity/Q12432	Michigan Technological University	Michigan	United States of America	Michigan Technological University	Michigan Technological University	Michiganin teknillinen yliopisto
http://www.wikidata.org/entity/Q1330634	University of Brasília	Federal District	Brazil	University of Brasília	Brasílias universitet	Brasilian yliopisto
http://www.wikidata.org/entity/Q1517021	University of Western Australia	Western Australia	Australia	University of Western Australia	University of Western Australia	Länsi-Australian yliopisto
http://www.wikidata.org/entity/Q165980	University of Vienna	Vienna	Austria	University of Vienna	Wiens universitet	Wienin yliopisto
http://www.wikidata.org/entity/Q16955	Tsinghua University	Beijing	People's Republic of China	Tsinghua University	Tsinghuauniversitetet	Tsinghua-yliopisto
http://www.wikidata.org/entity/Q173959	Al-Azhar University	Cairo Governorate	Egypt	Al-Azhar University	Al-Azharuniversitetet	Al-Azharin yliopisto
http://www.wikidata.org/entity/Q1940803	Mid Sweden University	Västernorrland County	Sweden	Mid Sweden University	Mittuniversitetet	Keski-Ruotsin yliopisto
http://www.wikidata.org/entity/Q194223	University of Buenos Aires	Buenos Aires	Argentina	University of Buenos Aires	Universitetet i Buenos Aires	Buenos Airesin yliopisto
http://www.wikidata.org/entity/Q2034790	East China Normal University	Shanghai	People's Republic of China	East China Normal University	East China Normal University	East China Normal University
http://www.wikidata.org/entity/Q222738	National Autonomous University of Mexico	Mexico City	Mexico	National Autonomous University of Mexico	Universidad Nacional Autónoma de México	Universidad Nacional Autónoma de México
http://www.wikidata.org/entity/Q2418908	Belarusian State University	Minsk	Belarus	Belarusian State University	Vitrysslands statliga universitet	Valko-Venäjän valtionyliopisto
http://www.wikidata.org/entity/Q273263	RWTH Aachen University	North Rhine-Westphalia	Germany	RWTH Aachen University	RWTH Aachen	RWTH Aachen
http://www.wikidata.org/entity/Q274486	Waseda University	Tokyo	Japan	Waseda University	Wasedauniversitetet	Wasedan yliopisto
http://www.wikidata.org/entity/Q309350	Northwestern University	Illinois	United States of America	Northwestern University	Northwestern University	Northwestern-yliopisto
http://www.wikidata.org/entity/Q309988	Karlsruhe Institute of Technology	Baden-Württemberg	Germany	Karlsruhe Institute of Technology	Karlsruher Institut für Technologie	Karlsruhen yliopisto
http://www.wikidata.org/entity/Q3777663	Royal Irish Academy of Music	Dublin	Ireland	Royal Irish Academy of Music	Royal Irish Academy of Music	Royal Irish Academy of Music
http://www.wikidata.org/entity/Q39920	Kim Il-sung University	Pyongyang	North Korea	Kim Il-sung University	Kim Il-sung-universitetet	Kim Il-sungin yliopisto
http://www.wikidata.org/entity/Q406402	University of Mumbai	Maharashtra	India	University of Mumbai	Mumbaiuniversitetet	Mumbain yliopisto
http://www.wikidata.org/entity/Q4115304	Sana'a University	Sanaa	Yemen	Sana'a University	Sanaa University	Sanaa University
http://www.wikidata.org/entity/Q414219	Academy of Fine Arts Vienna	Vienna	Austria	Academy of Fine Arts Vienna	Akademie der bildenden Künste Wien	Wienin kuvataideakatemia
http://www.wikidata.org/entity/Q414464	Academy of Gondishapur	Khuzestan Province	Iran	Academy of Gondishapur	Gundishapurakademin	Gundishapurin akatemia
http://www.wikidata.org/entity/Q49110	Boston University	Massachusetts	United States of America	Boston University	Boston University	Bostonin yliopisto
http://www.wikidata.org/entity/Q49118	Boston College	Massachusetts	United States of America	Boston College	Boston College	Boston College
http://www.wikidata.org/entity/Q49119	Brandeis University	Massachusetts	United States of America	Brandeis University	Brandeis University	Brandeisin yliopisto
http://www.wikidata.org/entity/Q49120	Tufts University	Massachusetts	United States of America	Tufts University	Tufts University	Tuftsin yliopisto
http://www.wikidata.org/entity/Q49212	Texas A&M University	Texas	United States of America	Texas A&M University	Texas A&M University	Texas A&M University
http://www.wikidata.org/entity/Q498407	University of Latvia	Riga	Latvia	University of Latvia	Lettlands universitet	Latvian yliopisto
http://www.wikidata.org/entity/Q585828	Seton Hall University	New Jersey	United States of America	Seton Hall University	Seton Hall University	Seton Hallin yliopisto
http://www.wikidata.org/entity/Q665105	University of Delhi	Delhi	India	University of Delhi	Delhi-universitetet	Delhin yliopisto
http://www.wikidata.org/entity/Q673354	University of St. Gallen	Canton of St. Gallen	Switzerland	University of St. Gallen	Sankt Gallens Universitet	St. Gallenin yliopisto
http://www.wikidata.org/entity/Q681025	University at Buffalo	New York	United States of America	University at Buffalo	Universitetet i Buffalo	University at Buffalo
http://www.wikidata.org/entity/Q689400	TU Wien	Vienna	Austria	TU Wien	Technische Universität Wien	Wienin teknillinen yliopisto
http://www.wikidata.org/entity/Q700731	Medical University of Vienna	Vienna	Austria	Medical University of Vienna	Medicinska Universitetet i Wien	Wienin lääketieteellinen yliopisto
http://www.wikidata.org/entity/Q734774	Saint Louis University	Missouri	United States of America	Saint Louis University	Saint Louis University	Saint Louisin yliopisto
http://www.wikidata.org/entity/Q746153	University of the West Indies	Tunapuna-Piarco Regional Corporation	Trinidad and Tobago	University of the West Indies	University of the West Indies Mona	Länsi-Intian yliopisto
http://www.wikidata.org/entity/Q757391	Central European University	Vienna	Austria	Central European University	Central European University	Central European University -yliopisto
http://www.wikidata.org/entity/Q790029	Bangor University	Gwynedd	Wales	Bangor University	Bangor University	Bangorin yliopisto
http://www.wikidata.org/entity/Q847099	Franz Liszt Academy of Music	Budapest	Hungary	Franz Liszt Academy of Music	Liszt-akademien	Franz Lisztin musiikkiakatemia
http://www.wikidata.org/entity/Q864450	Biola University	California	United States of America	Biola University	Biola University	Biolan yliopisto
http://www.wikidata.org/entity/Q974328	University of Liechtenstein	Vaduz	Liechtenstein	University of Liechtenstein	Hochschule Liechtenstein	Liechtensteinin yliopisto
university	universityLabel	cityLabel	countryLabel	universityLabel	universityLabel	universityLabel
